# SPDX-License-Identifier: Unicode-DFS-2016
# Columns: Form; Pronunciation

අං	aŋ
අනගාරික	anəɡaːrikə
අනගි	anəɡi
අනග්‍රහය	anəɡrəhəjə
අනඟ	anəᵑɡə
අනඟි	anəᵑɡi
අනතිමානීහු	anətimaːniːhu
අනතුර	anəturə
අනතුරකට	anəturəkəʈə
අනතුරකින්	anəturəkin
අනතුරක්	anəturak
අනතුරට	anəturəʈə
අනතුරින්	anəturin
අනතුරු	anəturu
අනතුරුදායක	anəturudaːjəkə
අනතුරුව	anəturuwə
අනතුරුවය	anəturuwəjə
අනතුරුවයි	anəturuwaj
අනතුරුවලට	anəturuwələʈə
අනතුරුවලින්	anəturuwəlin
අනතුරෙන්	anəturen
අනතුරේ	anətureː
අනත්ත	anattə
අනන්	anan
අනන්ත	anantə
අනන්තය	anantəjə
අනන්තයි	anantaj
අනන්තවත්	anantəwat
අනන්ය	ananjə
අනන්‍ය	anannjə
අනන්යතා	anannjətaː
අනන්යතාව	anannjətaːwə
අනන්යතාවය	anannjətaːwəjə
අනන්‍යතාවය	anannjətaːwəjə
අනඳ	anəⁿdə
අනපේක්ෂිත	anəpeːkʃitə
අනභිබවනීය	anəbibawəniːjə
අනම්	anam
අනර්කලී	anarkəliː
අනර්ග	anarɡə
අනර්ඝ	anarɡə
අනර්ඝයි	anarɡaj
අනර්ථ	anartə
අනර්ථකාරී	anartəkaːriː
අනර්ථය	anartəjə
අනර්ථයක්	anartəjak
අනවබෝධය	anəwəboːdəjə
අනවර්ථ	anəwartə
අනවශ්ය	anəwaʃʃjə
අනවශ්‍ය	anəwaʃʃjə
අනවශ්යයි	anəwaʃʃjaj
අනවසර	anəwəsərə
අනවසරයෙන්	anəwasərəjen
අනා	anaː
අනාගත	anaːɡətə
අනාගතය	anaːɡətəjə
අනාගතයකට	anaːɡətəjəkəʈə
අනාගතයක්	anaːɡətəjak
අනාගතයට	anaːɡətəjəʈə
අනාගතයත්	anaːɡətəjat
අනාගතයේ	anaːɡətəje
අනාගතයේදී	anaːɡətəjedi
අනාගතේ	anaːɡəteː
අනාගන්න	anaːɡannə
අනාගාමි	anaːɡaːmi
අනාගාමී	anaːɡaːmiː
අනාගෙන	anaːɡenə
අනාචාරයේ	anaːcaːrəje
අනාත	anaːtə
අනාත්ම	anaːtmə
අනාත්මයි	anaːtmaj
අනාථ	anaːtə
අනාථයි	anaːtaj
අනාථයෙක්	anaːtəjek
අනාථයෝ	anaːtəjoː
අනාථාගාරය	anaːtaːɡaːrəjə
අනාථාගාරයෙන්	anaːtaːɡaːrəjen
අනාථාගාරයේ	anaːtaːɡaːrəjeː
අනාදිමත්	anaːdimat
අනාරක්ෂිත	anaːrakʃitə
අනාර්ය	anaːrjə
අනාවරණ	anaːwərənə
අනාවරණය	anaːwarənəjə
අනාවරණය	anaːwərənəjə
අනාවැකි	anaːwæki
අනාවැකිය	anaːwækijə
අනාවැකියක්	anaːwækijak
අනික	anikə
අනිකත්	anikat
අනිකා	anikaː
අනිකුත්	anikut
අනික්	anik
අනික්වා	anikwa
අනිච්ච	aniccə
අනිච්චං	aniccaŋ
අනිටු	aniʈu
අනිත්	anit
අනිත්ය	anittjə
අනිත්‍ය	anittjə
අනිත්යය	anittjəjə
අනිත්යයි	anittjaj
අනිත්යා	anittjaː
අනිද්දට	aniddaʈə
අනිද්දම	aniddamə
අනිද්දා	anidda
අනිනවා	aninəwa
අනින්න	aninnə
අනියත	anijətə
අනියමාර්ථයෙන්	anijəmaːrtəjen
අනියමින්	anijəmin
අනියම්	anijam
අනිල්	anil
අනිවර්යයෙන්ම	aniwarjəjenmə
අනිවා	aniwaː
අනිවාරයෙන්ම	aniwaːrəjenmə
අනිවාර්ය	aniwaːrjə
අනිවාර්යය	aniwaːrjə
අනිවාර්යය	aniwaːrjəjə
අනිවාර්යයි	aniwaːrjaj
අනිවාර්යයෙන්	aniwaːrjen
අනිවාර්යයෙන්ම	aniwaːrjəjenmə
අනිවාර්යෙන්	aniwaːrjen
අනිවාර්යෙන්ම	aniwaːrjenmə
අනිසි	anisi
අනු	anu
අනුක	anukə
අනුකම්පා	anukampaː
අනුකම්පාව	anukampaːwə
අනුකම්පාවක්	anukampaːwak
අනුකම්පාවෙන්	anukampaːwen
අනුකරණය	anukərənəjə
අනුකාරක	anukaːrəkə
අනුකූල	anukuːlə
අනුකූලද	anukuːlədə
අනුකූලව	anukuːləwə
අනුක්	anuk
අනුගත	anuɡatə
අනුගතව	anuɡatəwə
අනුගමනය	anuɡamənəjə
අනුගාමික	anuɡaːmikə
අනුගාමිකයන්	anuɡaːmikəjan
අනුගාමිකයින්	anuɡaːmikəin
අනුගාමිකයෝ	anuɡaːmikəjoː
අනුග්රහය	anuɡɡrahajə
අනුග්‍රහය	anuɡɡrahajə
අනුග්රහයෙන්	anuɡɡrahajen
අනුත්තරීය	anuttəriːjə
අනුත්තරෝ	anuttəro
අනුදැන	anudænə
අනුදැනුම	anudænumə
අනුනට	anunəʈə
අනුන්	anun
අනුන්ගෙ	anunɡe
අනුන්ගෙන්	anunɡen
අනුන්ගේ	anunɡe
අනුන්ට	anunʈə
අනුන්ටත්	anunʈat
අනුපාත	anupaːtə
අනුපාතය	anupaːtəjə
අනුපාතයට	anupaːtəjəʈə
අනුපාතිකය	anupaːtikəjə
අනුප්	anup
අනුප්රාප්තිකයා	anupraːptikəja
අනුබද්ධ	anubaddə
අනුබද්ධය	anubaddəjə
අනුබද්ධිත	anubadditə
අනුබල	anubalə
අනුබලයක්	anubaləjak
අනුභව	anubawə
අනුභවය	anubawəjə
අනුභවයට	anubawəjəʈə
අනුභවයෙන්	anubawəjen
අනුභාවය	anubaːwəjə
අනුමණ්ඩලයේ	anumanɖələjeː
අනුමත	anumatə
අනුමාන	anumaːnə
අනුමානය	anumaːnəjə
අනුමැතිය	anumætijə
අනුමෝදන්	anumoːdan
අනුයුක්තව	anujuktəwə
අනුර	anurə
අනුරට	anurəʈə
අනුරපුර	anurəpurə
අනුරාධ	anuraːda
අනුරාධපුර	anuraːdəpurə
අනුරාධපුරය	anuraːdəpurəjə
අනුරාධපුරයට	anuraːdəpurəjəʈə
අනුරාධපුරයයි	anuraːdəpurəjaj
අනුරාධපුරයෙන්	anuraːdəpurəjen
අනුරාධපුරයේ	anuraːdəpurəje
අනුරාධපුරේ	anuraːdəpureː
අනුරාධා	anuraːdaː
අනුරුද්ධ	anuruddə
අනුරුව	anuruwə
අනුරුවක්	anuruwak
අනුරූප	anuruːpə
අනුලා	anulaː
අනුව	anuwə
අනුවණ	anuwənə
අනුවත්	anuwat
අනුවද	anuwədə
අනුවන	anuwənə
අනුවනම්	anuwənam
අනුවම	anuwəmə
අනුවය	anuwəjə
අනුවයි	anuwaj
අනුවර්තනය	anuwartənəjə
අනුවර්ථ	anuwartə
අනුවාදය	anuwaːdəjə
අනුවේදනීය	anuweːdəniːjə
අනුශාසනා	anuʃaːsənaː
අනුෂ්කා	anuʃkaː
අනුසාරයෙනි	anusaːrəjeni
අනුසාරයෙන්	anusaːrəjen
අනුස්මරණ	anusmarənə
අනුස්මරණිය	anusmarəniːjə
අනුහසින්	anuhasin
අනුහස්	anuhas
අනූ	anuː
අනූන	anuːnə
අනූව	anuːwə
අනූවයි	anuːwaj
අනූවේ	anuːwe
අනූෂා	anuːʃaː
අනෙ	ane
අනෙක	anekə
අනෙකකි	anekəki
අනෙකක්	anekak
අනෙකා	anekaː
අනෙකාගේ	anekaːɡeː
අනෙකාට	anekaːʈə
අනෙකුත්	anekut
අනෙකෙකු	anekeku
අනෙකෙකුගේ	anekekuɡe
අනෙකෙකුට	anekekuʈə
අනෙක්	anek
අනෙත්	anet
අනේ	aneː
අනේක	aneːkə
අනේකවිධ	aneːkəwidə
අනේද	aneːdə
අනේපිඬු	aneːpiⁿɖu
අනෝජා	anoːɟa
අනෝමා	anoːmaː
අන්	an
අන්කල්	ankəl
අන්කල්	aŋkəl
අන්චියක්	aŋcijak
අන්ත	antə
අන්තඃපුර	antahpurə
අන්තඃපුරයක්	antahpurəjak
අන්තගාමී	antəɡaːmiː
අන්තය	antəjə
අන්තයට	antəjəʈə
අන්තයටම	antəjəʈəmə
අන්තයි	antaj
අන්තයේ	antəjeː
අන්තර	antərə
අන්තරය	antərəjə
අන්තරාය	antəraːjə
අන්තරායකර	antəraːjəkərə
අන්තරේ	antəreː
අන්තර්	antər
අන්තර්ගත	antərɡatə
අන්තර්ගතය	antərɡatəjə
අන්තර්ගතයි	antərɡataj
අන්තර්ගතයේ	antərɡatəjeː
අන්තර්ගතව	antərɡatəwə
අන්තර්ජාතික	antərɟaːtikə
අන්තර්ජාතිකව	antərɟaːtikəwə
අන්තර්ජාල	antərɟaːlə
අන්තර්ජාලය	antərɟaːləjə
අන්තර්ජාලයට	antərɟaːləjəʈə
අන්තර්ජාලයෙන්	antərɟaːləjen
අන්තර්ජාලයේ	antərɟaːləjeː
අන්තර්ධානය	antərdaːnəjə
අන්තවාදය	antəwaːdəjə
අන්තවාදයක්	antəwaːdəjak
අන්තවාදයට	antəwaːdəjəʈə
අන්තවාදි	antəwaːdi
අන්තවාදියා	antəwaːdija
අන්තවාදී	antəwaːdiː
අන්තවාදීන්	antəwaːdiːn
අන්තවාදීන්ගේ	antəwaːdiːnɡeː
අන්තවාදීන්ට	antəwaːdiːnʈə
අන්තිම	antimə
අන්තිමට	antiməʈə
අන්තිමටම	antiməʈəmə
අන්තිමයා	antiməjaː
අන්තිමයි	antimaj
අන්තිමේ	antimeː
අන්තිමේට	antimeːʈə
අන්තිමේදි	antimeːdi
අන්තිමේදී	antimeːdi
අන්තෝනි	antoːni
අන්ද	andə
අන්දන	andənə
අන්දනවා	andənəwa
අන්දන්න	andannə
අන්දම	andəmə
අන්දමක	andəməkə
අන්දමට	andəməʈə
අන්දමන්ද	andəmandə
අන්දමින්	andəmin
අන්දමේ	andəmeː
අන්දරය	andərəjə
අන්දරයකුත්	andərəjəkut
අන්දරේ	andəreː
අන්දරේගේ	andəreːɡeː
අන්දලා	andəla
අන්දවන්න	andəwannə
අන්දවා	andəwaː
අන්ධ	andə
අන්ධකාරය	andəkaːrəjə
අන්ධභාවය	andəbaːwəjə
අන්ධයෝ	andəjoː
අන්න	annə
අන්නාසි	annaːsi
අන්ය	annjə
අන්‍ය	annjə
අන්‍යාගමිකයා	annjaːɡəmikəja
අන්යාගමිකයා	annjaːɡəmikəjaː
අන්වර්ථ	anwartə
අන්සතු	ansatu
අඳ	aⁿdə
අඳබාල	aⁿdəbaːlə
අඳය	aⁿdəjə
අඳිති	aⁿditi
අඳින	aⁿdinə
අඳිනවා	aⁿdinəwa
අඳිනු	aⁿdinu
අඳින්ඩ	aⁿdinɖə
අඳින්න	aⁿdinnə
අඳින්නට	aⁿdinnəʈə
අඳින්නෙ	aⁿdinne
අඳින්නේ	aⁿdinneː
අඳියි	aⁿdiː
අඳියි	aⁿdij
අඳීන	aⁿdiːnə
අඳුකොළ	aⁿdukolə
අඳුන	aⁿdunə
අඳුනගන්න	aⁿdunəɡannə
අඳුනගෙන	aⁿdunəɡenə
අඳුනන	aⁿdunənə
අඳුනනවා	aⁿdunənəwa
අඳුනන්නේ	aⁿdunanne
අඳුනා	aⁿdunaː
අඳුනාගත්	aⁿdunaːɡat
අඳුනාගෙන	aⁿdunaːɡenə
අඳුන්	aⁿdun
අඳුමුත්	aⁿdumut
අඳුර	aⁿdurə
අඳුරක්	aⁿdurak
අඳුරගන්න	aⁿdurəɡannə
අඳුරගෙන	aⁿdurəɡenə
අඳුරට	aⁿdurəʈə
අඳුරත්	aⁿdurat
අඳුරන	aⁿdurənə
අඳුරනවා	aⁿdurənəwa
අඳුරන්නේ	aⁿduranne
අඳුරු	aⁿduru
අඳුරුය	aⁿdurujə
අඳුරුයි	aⁿdurui
අඳුරෙන්	aⁿduren
අඳුරේ	aⁿdureː
අඳුරේම	aⁿdureːmə
අඳුරේය	aⁿdureːjə
අඳෝනා	aⁿdoːnaː
අඳෝනාව	aⁿdoːnaːwə
අප	apə
අපකීර්තිය	apəkiːrtijə
අපකීර්තියට	apəkiːrtijəʈə
අපගෙන්	apəɡen
අපගේ	apəɡeː
අපගේම	apəɡeːmə
අපචාර	apəcaːrə
අපට	apəʈə
අපටත්	apəʈat
අපටද	apəʈədə
අපටනම්	apəʈənam
අපටම	apəʈəmə
අපත	apətə
අපතයෙක්	apətəjek
අපතයෝ	apətəjo
අපතේ	apəteː
අපත්	apat
අපද	apədə
අපදානපාලියේ	apədaːnəpaːlijeː
අපනයන	apənajənə
අපනයනය	apənajənəjə
අපම	apəmə
අපමණ	apəmənə
අපමණය	apəmənəjə
අපමණයි	apəmənaj
අපයෝජන	apəjoːɟənə
අපයෝජනය	apəjoːɟənəjə
අපයෝජනයට	apəjoːɟənəjəʈə
අපර	apərə
අපරදිග	apərədiɡə
අපරභාග	apərəbaːɡə
අපරභාගයේදී	apərəbaːɡəjeːdiː
අපරාද	apəraːdə
අපරාදය	apəraːdəjə
අපරාදයක්	apəraːdəjak
අපරාදෙ	apəraːde
අපරාදේ	apəraːde
අපරාධ	apəraːdə
අපරාධකරුවන්	apəraːdəkaruwan
අපරාධකරුවන්ට	apəraːdəkaruwanʈə
අපරාධකාරයා	apəraːdəkaːrəja
අපරාධකාරයෙක්	apəraːdəkaːrəjek
අපරාධකාරයෝ	apəraːdəkaːrəjoː
අපරාධය	apəraːdəjə
අපරාධයකි	apəraːdəjəki
අපරාධයක්	apəraːdəjak
අපරාධයට	apəraːdəjəʈə
අපරාධයේ	apəraːdəje
අපරාධවලට	apəraːdəwələʈə
අපරිමිත	apərimitə
අපල	apələ
අපලය	apələjə
අපලයට	apələjəʈə
අපලයි	apəlaj
අපලයෙන්	apələjen
අපව	apəwə
අපවත්	apəwat
අපවාද	apəwaːdə
අපවිත්ර	apəwittrə
අපවිත්‍ර	apəwittrə
අපහට	apəhaʈə
අපහසු	apahasu
අපහසුකම්	apəhasukam
අපහසුතා	apahasutaː
අපහසුතා	apəhasutaː
අපහසුතාවට	apəhasutaːwəʈə
අපහසුතාවයක්	apəhasutaːwəjak
අපහසුතාවයට	apahasutaːwəjəʈə
අපහසුය	apahasujə
අපහසුයි	apahasui
අපහසුව	apəhasuwə
අපහසුවකින්	apəhasuwəkin
අපහසුවක්	apahasuwak
අපහසුවෙන්	apahasuwen
අපහසුවෙන්	apəhasuwen
අපහාස	apəhaːsə
අපහාසය	apəhaːsəjə
අපහාසයකි	apəhaːsəjəki
අපහාසයක්	apəhaːsəjak
අපහාසයට	apəhaːsəjəʈə
අපහාසාත්මක	apəhaːsaːtməkə
අපා	apaː
අපාගත	apaːɡatə
අපාචී	apaːciː
අපාය	apaːjə
අපායකට	apaːjəkəʈə
අපායක්	apaːjak
අපායට	apaːjəʈə
අපායයි	apaːjaj
අපායෙ	apaːje
අපායෙන්	apaːjen
අපායෙහි	apaːjehi
අපායේ	apaːjeː
අපැහැදිලි	apæhædili
අපි	api
අපිට	apiʈə
අපිටත්	apiʈat
අපිටනම්	apiʈənam
අපිටම	apiʈəmə
අපිත්	apit
අපිද	apidə
අපිදු	apidu
අපිනම්	apinam
අපිම	apimə
අපිමයි	apimaj
අපියි	apiː
අපියි	apij
අපිරිමිත	apirimitə
අපිරිසිදු	apirisidu
අපිල	apila
අපිලගේ	apilaɡe
අපිලට	apilaʈə
අපිව	apiwə
අපිවත්	apiwat
අපිළිවෙළ	apiliwelə
අපුරු	apuːru
අපුරුයි	apuːrui
අපූරු	apuːru
අපූරුතම	apuːrutəmə
අපූරුය	apuːrujə
අපූරුයි	apuːruj
අපූරුව	apuːruwə
අපූරුවට	apuːruwəʈə
අපූර්ව	apuːrwə
අපූර්වතම	apuːrwətəmə
අපූර්වත්වය	apuːrwatwəjə
අපෙ	ape
අපෙත්	apet
අපෙනුත්	apenut
අපෙන්	apen
අපේ	apeː
අපේකම	apeːkamə
අපේක්ෂක	apeːkʃəkə
අපේක්ෂකත්වය	apeːkʃəkatwəjə
අපේක්ෂකයකු	apeːkʃəkəjəku
අපේක්ෂකයන්	apeːkʃəkəjan
අපේක්ෂකයා	apeːkʃəkəjaː
අපේක්ෂකයෙක්	apeːkʃəkəjek
